epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,5952.37,1.04564,0.96909,1.43874,0.86036,0.72047,0.78488,0.53907,1.267,0.99977,1.66432,0.006073,0.006073,0.006073
121,6000.89,1.02603,0.95456,1.42494,0.86313,0.71936,0.78467,0.54137,1.25183,1.00421,1.65739,0.00604,0.00604,0.00604
122,6049.24,1.04087,0.94861,1.43567,0.87106,0.72583,0.78604,0.54379,1.26141,1.01407,1.65524,0.006007,0.006007,0.006007
123,6098.19,1.03513,0.94651,1.42196,0.89001,0.71891,0.7896,0.54236,1.27343,1.00961,1.66365,0.005974,0.005974,0.005974
124,6146.97,1.03389,0.92879,1.42835,0.86357,0.73083,0.79161,0.54055,1.26797,1.01039,1.656,0.005941,0.005941,0.005941
125,6196.16,1.03126,0.93218,1.41767,0.86136,0.72196,0.78839,0.54143,1.27523,1.01097,1.66243,0.005908,0.005908,0.005908
126,6245.93,1.02389,0.93739,1.42221,0.8586,0.73434,0.79579,0.54626,1.25229,1.00358,1.64431,0.005875,0.005875,0.005875
127,6295.09,1.01771,0.93864,1.42057,0.86271,0.72842,0.79516,0.54049,1.28875,0.99241,1.67745,0.005842,0.005842,0.005842
128,6344.06,1.02982,0.93652,1.41656,0.86774,0.72783,0.79277,0.54422,1.26412,1.00417,1.65441,0.005809,0.005809,0.005809
129,6392.96,1.01286,0.92952,1.4123,0.84983,0.74582,0.79234,0.54426,1.27272,1.00475,1.66341,0.005776,0.005776,0.005776
130,6441.71,1.01989,0.93531,1.40977,0.84813,0.74197,0.79721,0.54594,1.26296,0.9996,1.6512,0.005743,0.005743,0.005743
131,6490.29,1.01592,0.91247,1.40397,0.86369,0.73301,0.8033,0.54526,1.27608,1.00078,1.66307,0.00571,0.00571,0.00571
132,6538.69,1.01938,0.92312,1.41621,0.88423,0.71056,0.79627,0.54485,1.25567,1.02493,1.65507,0.005677,0.005677,0.005677
133,6587.46,1.01251,0.9092,1.40907,0.86036,0.73087,0.79843,0.54292,1.25461,0.99968,1.64665,0.005644,0.005644,0.005644
134,6637.8,1.01149,0.91637,1.40745,0.8501,0.73081,0.79688,0.54878,1.25117,0.97988,1.65069,0.005611,0.005611,0.005611
135,6687.13,1.00263,0.89925,1.4119,0.87918,0.70705,0.7898,0.54438,1.25855,0.99877,1.64683,0.005578,0.005578,0.005578
136,6738.79,1.01233,0.91071,1.40551,0.87479,0.71835,0.7948,0.54992,1.26019,0.99743,1.65327,0.005545,0.005545,0.005545
137,6788.93,1.01637,0.92104,1.41159,0.85886,0.71952,0.79144,0.54475,1.25681,1.00603,1.6525,0.005512,0.005512,0.005512
138,6840.47,0.99225,0.89919,1.40351,0.87056,0.72876,0.79941,0.54947,1.25365,0.98842,1.65101,0.005479,0.005479,0.005479
139,6889.31,0.99144,0.89639,1.39822,0.86214,0.73707,0.80581,0.55922,1.2499,0.97267,1.64629,0.005446,0.005446,0.005446
140,6940.17,0.99618,0.90011,1.39822,0.85402,0.74328,0.80629,0.55809,1.26678,0.97081,1.65694,0.005413,0.005413,0.005413
141,6989.73,0.98244,0.87577,1.38619,0.85823,0.73525,0.80678,0.55447,1.26348,0.98496,1.65438,0.00538,0.00538,0.00538
142,7039.14,1.01817,0.89899,1.40108,0.87813,0.7342,0.80642,0.55371,1.26657,0.98118,1.65829,0.005347,0.005347,0.005347
143,7089.39,1.00834,0.89795,1.40242,0.86192,0.72998,0.80565,0.55359,1.2594,0.9697,1.65743,0.005314,0.005314,0.005314
144,7139.53,0.99847,0.89072,1.39017,0.8736,0.72235,0.80921,0.55881,1.26008,0.95801,1.65585,0.005281,0.005281,0.005281
145,7189.54,0.98964,0.88144,1.38804,0.86486,0.73323,0.8097,0.55901,1.2491,0.94894,1.64272,0.005248,0.005248,0.005248
146,7239.68,0.98598,0.89076,1.39409,0.88279,0.72022,0.80901,0.55911,1.2397,0.95849,1.62646,0.005215,0.005215,0.005215
147,7289.43,0.99303,0.89759,1.39978,0.84887,0.74752,0.80716,0.55695,1.24273,0.96455,1.63391,0.005182,0.005182,0.005182
148,7339.26,1.00425,0.88593,1.39212,0.8314,0.76341,0.8111,0.56164,1.23922,0.97304,1.63521,0.005149,0.005149,0.005149
149,7389.01,0.99455,0.89343,1.39653,0.85235,0.74026,0.8078,0.55993,1.23664,0.96357,1.63492,0.005116,0.005116,0.005116
150,7438.96,0.97835,0.85977,1.37774,0.85662,0.75146,0.80874,0.55842,1.24863,0.95899,1.64259,0.005083,0.005083,0.005083
151,7489.18,0.99055,0.8938,1.39306,0.86637,0.74892,0.81048,0.55717,1.24918,0.96345,1.64343,0.00505,0.00505,0.00505
152,7539.52,0.98644,0.8717,1.38211,0.85909,0.74337,0.80725,0.55832,1.24215,0.96805,1.64042,0.005017,0.005017,0.005017
